t,y0,y1,y2,u0,u1,u2
0,-20.0288374496409,-2.47576822123294,22.4788683317741,1,1,-1
0,-19.0896140291479,-1.49215354302998,21.0381757098766,1,-1,-1
0,-17.2900762795784,-2.63060865414583,20.763403322893,1,-1,-1
0,-15.5049585246048,-2.66875661705065,18.9054553528655,1,-1,-1
0,-14.6506310433365,-4.92595259990893,19.2770183310013,1,-1,-1
0,-11.7763111918185,-4.68325740847088,18.0297827840412,1,-1,-1
0,-12.3203554540821,-4.97556183504465,19.6325267417345,1,-1,-1
0,-10.2724763576756,-4.73849271480961,18.5670382243018,1,-1,-1
0,-8.43158565746527,-6.62191096307498,15.8251701878962,-1,-1,-1
0,-10.6414904811891,-6.57498836958799,17.3407386158018,-1,1,-1
0,-9.74558431927238,-5.56850864462924,14.0392827087168,-1,1,-1
0,-12.0909346390905,-4.25610723324169,14.3058143481371,-1,1,-1
0,-9.79002760639734,-2.7361409557373,12.4970470516804,-1,1,-1
0,-12.5035865360446,-0.957123583832934,11.3985513018817,-1,1,-1
0,-11.278678733234,0.036771931367993,12.8396017130148,-1,1,-1
0,-11.9877084962194,1.54001876210499,11.3071570288348,-1,1,-1
0,-13.3343012825869,2.20352890786395,10.7129179125304,-1,1,-1
0,-14.3435937345281,3.9537536232793,10.0460560082302,-1,1,-1
0,-15.4401820183586,6.01888557313762,9.96740684445209,-1,1,-1
0,-16.3742743262173,9.03531979440221,7.86554069244738,-1,1,-1
0,-16.6114141814064,8.60754519902537,6.88151929037987,1,0.999999999999964,-1
0,-16.4730600859531,10.8571371543147,5.78457016275996,1,-1,-1
0,-13.8601886028464,8.47779607524517,4.63316328649922,1,-1,-1
0,-13.2567604272578,8.39015769770232,3.67321708752938,1,-1,-1
0,-11.6075781115175,8.04677881082591,3.87999459675022,-1,-1,-1
0,-9.80634397128132,7.39253926327183,3.57048344707883,-1,-1,-0.999999999999964
0,-11.1533332416152,8.78216455727833,1.96622634862057,-1,-1,1
0,-12.1048177226649,7.46749298497944,4.57652327380639,-1,-1,1
0,-12.8330435598363,7.63909784231149,5.57090372274514,-1,-1,1
0,-12.0619267641624,3.8470303096597,7.94202048032538,-1,1,1
0,-14.5664619162206,6.53567736623821,7.11923151001628,-1,1,-1
0,-14.8137851423692,8.36361356003452,7.36195390393923,-1,1,-1
0,-17.4524931718499,10.5406134743622,8.2840644714126,1,1,-1
0,-15.8828804728307,10.385090368027,4.89201166994287,1,-1,-1
0,-14.6790884848138,8.61409999135173,4.81195577422226,1,-1,-1
0,-13.0022035578657,8.73358904233545,3.16784247423132,1,-1,-1
0,-10.9001341503121,7.05762221036269,2.46427897602519,1,-1,-1
0,-9.36238044089522,8.00591130599804,2.82922292361634,1,-1,-1
0,-7.99478112391247,5.9031986564948,1.80362313955458,1,-1,-1
0,-6.60975497679395,6.15604164117268,1.0842299366864,1,-1,-1
0,-3.94211273853673,6.35814972824411,0.115438565625952,-1,-1,-1
0,-4.46430643841637,6.06491637316481,1.14400553549462,-1,-1,-1
0,-6.08608563187345,4.94894061116078,0.732295494282776,-1,-1,1
0,-5.67970622538915,4.39016712896278,2.54423988198155,-1,-1,1
0,-7.35763561036247,3.42026299315571,4.29661471317591,1,-1,1
0,-6.34374540399476,1.40893778923427,4.45810035493868,1,1,1
0,-6.93648493655791,2.99615224557104,4.00990401524596,1,1,1
0,-7.40151610459382,1.3047620756967,4.08552712843384,1,1,1
0,-4.7373796935077,1.21089480791962,4.03746378162456,-1,1,1
0,-6.65324954850021,1.31547416591623,4.50492111334537,-1,-1,1
0,-7.35955172898922,1.90755119591095,6.60162681493827,-1,-1,1
0,-8.35274892887266,-1.06091948227976,9.56412137606165,-1,-1,1
0,-10.2876876244876,-1.85768296978808,11.0762963119953,1,-1,1
0,-9.15763048130072,-2.4794118043564,11.6018996062317,1,-1,1
0,-8.82817947638657,-4.27961109292919,11.9721923336952,1,-1,-1
0,-6.18314541405206,-4.73932651308929,10.5377442421458,0.999999999999964,-1,-1
0,-5.12527867817613,-4.90646336588732,9.57538458025561,-1,-1,-1
0,-4.94131248619228,-6.23779959513443,10.0672088729216,-1,1,-1
0,-3.83985352713488,-4.22305017806621,9.30948319860781,-1,1,-1
0,-5.85074877696626,-2.50132823090597,8.33602554211716,-1,1,-1
0,-7.45433344678637,0.674643309278337,6.64064452460307,-1,1,-1
0,-8.90717946597531,2.51765065527776,6.73720466945414,-1,1,-1
0,-8.149512271291,1.32241203211246,4.67152695267223,-1,1,-1
0,-9.67416413627527,4.77181444768451,3.86140537225402,-1,1,-1
0,-10.5607115574051,6.5014002870492,3.30324521003417,-1,1,-1
0,-10.2246919487666,7.1027416846422,2.44266797737249,-1,1,-1
0,-10.6114187389023,8.8582085947044,1.72431820822313,-1,1,-1
0,-12.8600294452001,10.6242145955759,0.831826116763963,-1,1,-1
0,-12.6514764594669,12.2291223657011,0.867029353258478,1,1,-1
0,-11.5640087846958,13.3164791780095,-1.77168133822087,1,1,-1
0,-12.395548124363,14.3808000212666,-0.470667588304025,1,1,1
0,-12.2471415687479,13.5048738100738,-1.47714065736523,1,1,1
